Item,Qty,URL,Cost,Notes
"PCB fabrication, 2-layer blue board",5,https://jlcpcb.com/,$5.10,5 prototype PCBs
JLCPCB Economy SMT assembly,5,https://jlcpcb.com/,$88.07,PCBA quote excludes manual headers/connectors
JLCPCB shipping,1,https://jlcpcb.com/,$23.73,
,,,,
1uF ceramic capacitor,10,https://www.lcsc.com/product-detail/C52923.html,included,
0.1uF ceramic capacitor,60,https://www.lcsc.com/product-detail/C1525.html,included,
4.7uF ceramic capacitor,10,https://www.lcsc.com/product-detail/C19666.html,included,
33pF ceramic capacitor,10,https://www.lcsc.com/product-detail/C1562.html,included,
10uF ceramic capacitor,10,https://www.lcsc.com/product-detail/C19702.html,included,
Red 0402 LED,5,https://www.lcsc.com/product-detail/C130719.html,included,
USB-C connector,5,https://www.lcsc.com/product-detail/C165948.html,included,
5.1K resistor,10,https://www.lcsc.com/product-detail/C25905.html,included,
27 ohm resistor,10,https://www.lcsc.com/product-detail/C138021.html,included,
1K resistor,10,https://www.lcsc.com/product-detail/C11702.html,included,
10K resistor,10,https://www.lcsc.com/product-detail/C25744.html,included,
8.87K resistor,5,https://www.lcsc.com/product-detail/C36953.html,included,
47K resistor,5,https://www.lcsc.com/product-detail/C25792.html,included,
3.09K resistor,5,https://www.lcsc.com/product-detail/C11460.html,included,
4.7K resistor,15,https://www.lcsc.com/product-detail/C25900.html,included,
BOOTSEL button,5,https://www.lcsc.com/product-detail/C720477.html,included,
RP2040 microcontroller,5,https://www.lcsc.com/product-detail/C2040.html,included,
3.3V regulator,5,https://www.lcsc.com/product-detail/C39051.html,included,
QSPI flash memory,5,https://www.lcsc.com/product-detail/C2843335.html,included,
LiPo charger IC,5,https://www.lcsc.com/product-detail/C15464.html,included,
Battery fuel gauge,5,https://www.lcsc.com/product-detail/C2682616.html,included,
USB ESD protection,5,https://www.lcsc.com/product-detail/C7519.html,included,
12MHz crystal,5,https://www.lcsc.com/product-detail/C9002.html,included,
,,,,
2.54mm male header strips,20,https://robocraze.com/products/40x1-pin-2-54mm-pitch-male-berg-strip,$1.26,Hand solder after PCBA; cut some pins for SWD
2mm JST battery connector cable set,1,https://robocraze.com/products/2-mm-pitch-jst-cable-with-connector-pack-of-10,$0.60,Hand solder after PCBA
Robocraze shipping,1,https://robocraze.com/,$1.05,
,,,,
**Total cost**,,,**$119.81**,
