Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",154.475000,-101.975000,45.000000,top
"C2","0.1uF","C_0402_1005Metric",151.007500,-113.447500,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",143.275000,-108.400000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",144.200000,-103.625000,180.000000,top
"C5","0.1uF","C_0402_1005Metric",152.950000,-102.675000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",149.775000,-99.570000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",150.200000,-97.250000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",154.320000,-103.900000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",155.125000,-108.975000,0.000000,top
"C10","1uF","C_0402_1005Metric",152.450000,-112.975000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",151.700000,-102.175000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",148.775000,-99.570000,90.000000,top
"C13","4.7uF","C_0603_1608Metric",145.200000,-87.500000,180.000000,top
"C14","4.7uF","C_0603_1608Metric",154.715000,-96.375000,-90.000000,top
"C15","33pF","C_0402_1005Metric",145.457500,-115.902500,-90.000000,top
"C16","33pF","C_0402_1005Metric",151.007500,-115.372500,90.000000,top
"C17","0.1uF","C_0402_1005Metric",146.545000,-98.815000,180.000000,top
"C18","10uF","C_0603_1608Metric",151.450000,-94.675000,-45.000000,top
"C19","10uF","C_0603_1608Metric",144.275000,-93.050000,180.000000,top
"C20","0.1uF","C_0402_1005Metric",153.700000,-88.100000,180.000000,top
"D1","LED","LED_0402_1005Metric",152.025000,-99.825000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",149.000000,-81.260000,180.000000,top
"R1","5.1K","R_0402_1005Metric",150.825000,-87.675000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",147.250000,-87.675000,-90.000000,top
"R3","27","R_0402_1005Metric",150.700000,-102.000000,90.000000,top
"R4","27","R_0402_1005Metric",149.700000,-102.000000,90.000000,top
"R5","1K","R_0402_1005Metric",149.307500,-113.372500,180.000000,top
"R6","1K","R_0402_1005Metric",143.225000,-96.875000,-90.000000,top
"R7","10K","R_0402_1005Metric",144.490000,-98.775000,0.000000,top
"R8","10K","R_0402_1005Metric",154.925000,-93.240000,-90.000000,top
"R9","8.87K","R_0402_1005Metric",153.325000,-93.750000,180.000000,top
"R10","47K","R_0402_1005Metric",153.075000,-96.835000,90.000000,top
"R11","3.09K","R_0402_1005Metric",153.750000,-98.775000,180.000000,top
"R12","4.7K","R_0402_1005Metric",147.325000,-119.600000,-90.000000,top
"R13","4.7K","R_0402_1005Metric",148.950000,-118.825000,0.000000,top
"R14","4.7K","R_0402_1005Metric",153.825000,-100.075000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",146.525000,-96.150000,180.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",149.000000,-107.400000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",144.250000,-90.275000,90.000000,top
"U3","W25Q16JVUXIQ","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",145.700000,-100.775000,0.000000,top
"U4","BQ24075RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",152.575000,-91.062500,180.000000,top
"U5","MAX17048G_T10","21-0168E_T822-3_MXM",151.900000,-118.410000,-90.000000,top
"U6","USBLC6-2SC6","SOT23-6L_STM-L",148.400000,-91.288650,90.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",148.182500,-115.617500,180.000000,top
