Designator,Mid X,Mid Y,Layer,Rotation
C1,154.475000,-101.975000,Top,45.000000
C2,151.007500,-113.447500,Top,-90.000000
C3,143.275000,-108.400000,Top,180.000000
C4,144.200000,-103.625000,Top,180.000000
C5,152.950000,-102.675000,Top,90.000000
C6,149.775000,-99.570000,Top,90.000000
C7,150.200000,-97.250000,Top,90.000000
C8,154.320000,-103.900000,Top,0.000000
C9,155.125000,-108.975000,Top,0.000000
C10,152.450000,-112.975000,Top,0.000000
C11,151.700000,-102.175000,Top,90.000000
C12,148.775000,-99.570000,Top,90.000000
C13,145.200000,-87.500000,Top,180.000000
C14,154.715000,-96.375000,Top,-90.000000
C15,145.457500,-115.902500,Top,-90.000000
C16,151.007500,-115.372500,Top,90.000000
C17,146.545000,-98.815000,Top,180.000000
C18,151.450000,-94.675000,Top,-45.000000
C19,144.275000,-93.050000,Top,180.000000
C20,153.700000,-88.100000,Top,180.000000
D1,152.025000,-99.825000,Top,90.000000
J1,149.000000,-81.260000,Top,180.000000
R1,150.825000,-87.675000,Top,-90.000000
R2,147.250000,-87.675000,Top,-90.000000
R3,150.700000,-102.000000,Top,90.000000
R4,149.700000,-102.000000,Top,90.000000
R5,149.307500,-113.372500,Top,180.000000
R6,143.225000,-96.875000,Top,-90.000000
R7,144.490000,-98.775000,Top,0.000000
R8,154.925000,-93.240000,Top,-90.000000
R9,153.325000,-93.750000,Top,180.000000
R10,153.075000,-96.835000,Top,90.000000
R11,153.750000,-98.775000,Top,180.000000
R12,147.325000,-119.600000,Top,-90.000000
R13,148.950000,-118.825000,Top,0.000000
R14,153.825000,-100.075000,Top,0.000000
SW1,146.525000,-96.150000,Top,180.000000
U1,149.000000,-107.400000,Top,0.000000
U2,144.250000,-90.275000,Top,90.000000
U3,145.700000,-100.775000,Top,0.000000
U4,152.575000,-91.062500,Top,180.000000
U5,151.900000,-118.410000,Top,-90.000000
U6,148.400000,-91.288650,Top,90.000000
Y1,148.182500,-115.617500,Top,180.000000
